artist,asin,media,review_count,star_rating,title,year,genre
Cradle Of Filth,B006QG4512,"MP3 Music,Audio CD",325,4.7,Cruelty And The Beast (Original Edition),1988,black metal
Sepultura,B01BG8MJM6,"Audio CD,MP3 Music",311,4.7,Morbid Visions / Bestial Devastation,2014,black metal
Goatwhore,B0B84W3M1M,"Audio CD,MP3 Music,Vinyl",55,4.8,Angels Hung from the Arches of Heaven,2022,black metal
Sepultura,B081KQHBH9,"Audio CD,Vinyl",296,4.7,Quadra,2020,black metal
Arcturus,B09PZ7WSBN,"Audio CD,MP3 Music,Vinyl",30,4.9,Aspera Hiems Symfonia,2022,black metal
Emperor,B089M1HWNC,"Vinyl,Audio CD",30,4.9,Wrath Of The Tyrant Clear With Red & Black Splatter,2020,black metal
Destruction,B089CR1FVZ,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",30,4.9,Mad Butcher,2020,black metal
Immortal,B07HQ1CPP9,"Vinyl,Audio CD",30,4.9,Pure Holocaust Ltd. Ed. splatter,2018,black metal
Tsjuder,B013HD8DY6,"Audio Cassette,MP3 Music,Audio CD,Vinyl",30,4.9,Antiliv,2015,black metal
Toxic Holocaust,B004NQOH3I,"MP3 Music,Audio CD",30,4.9,Evil Never Dies,,black metal
Dissection,B0B5P7M8NW,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",283,4.7,Somberlain - Red,2022,black metal
Celtic Frost,B000XHBP9A,"Vinyl,MP3 Music,Audio CD",282,4.7,Monotheist,2006,black metal
Dark Funeral,B09PZ5PCT2,"Audio CD,MP3 Music,Vinyl",279,4.7,We Are The Apocalypse,2022,black metal
Arcturus,B0BSJHSL28,"Vinyl,MP3 Music,Audio CD",54,4.8,The Sham Mirrors,2023,black metal
Agalloch,B079TMJDDZ,"Vinyl,MP3 Music,Audio CD",54,4.8,Pale Folklore 2x LP (White Vinyl),,black metal
Incantation,B00BO074CM,"MP3 Music,Audio CD",54,4.8,Diabolical Conquest,,black metal
Katatonia,B0BBN163C7,"Vinyl,MP3 Music,Audio CD",279,4.7,Dead End Kings,2022,black metal
Carach Angren,B085RRGL6L,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",258,4.7,Frankensteina Strataemontanus,2020,black metal
Enslaved,B0884GWD5P,"Vinyl,MP3 Music,Audio CD",53,4.8,Eld Ltd. Brown & Clear Marble,2020,black metal
Old Man's Child,B07W3RQCQ6,"Vinyl,MP3 Music,Audio CD",53,4.8,Vermin,2019,black metal
Dimmu Borgir,B000O77Q3S,"Audio CD,MP3 Music,Vinyl",251,4.7,In Sorte Diaboli,2011,black metal
Solstafir,B08FB7N423,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",248,4.7,Endless Twilight of Codependent Love,2020,black metal
Incantation,B08BV6P62B,"Audio CD,MP3 Music,Vinyl",246,4.7,Sect of Vile Divinities,2020,black metal
Watain,B09RTCSP7R,"Audio CD,MP3 Music,Vinyl",248,4.7,The Agony & Ecstasy Of Watain,2022,black metal
Mercyful Fate,B07HGQ4J4X,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",246,4.7,In The Shadows,2018,black metal
Mayhem,B0BKMPK314,"Vinyl,MP3 Music,Audio CD",52,4.8,Mediolanum Capta Est - 140gm,2023,black metal
Incantation,B07NR8BQRW,"Vinyl,MP3 Music,Audio CD",52,4.8,Upon the Throne of Apocalypse,2019,black metal
Incantation,B08ZV47Q5Y,"Vinyl,MP3 Music,Audio CD",52,4.8,The Infernal Storm,2021,black metal
Emperor,B09R912345,"Vinyl,Audio CD",230,4.7,Anthems To The Welkin At Dusk[Black/White/Green Swirl LP] [Half-Speed],2022,black metal
Celtic Frost,B07NRH6NTN,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",226,4.7,Into the Pandemonium,2019,black metal
