artist,asin,media,review_count,star_rating,title,year,genre
Refused,B00000DC10,Audio CD,147,4.6,Shape of Punk to Come - Chimerical Bombination in,1998,alternative metal
Dream Theater,B095MLQ4Q7,"Vinyl,Audio CD",147,4.6,Lost Not Forgotten Archives: A Dramatic Tour of Events - Select Board Mixes,2021,alternative metal
Clutch,B000024WMA,"Audio CD,MP3 Music,Vinyl",147,4.6,Impetus,2008,alternative metal
Helloween,B08T42DMC4,"Vinyl,MP3 Music,Audio CD",147,4.6,Rabbit Don't Come Easy orange/black splatter in,2021,alternative metal
Chimaira,B0009XG41M,"Audio CD,MP3 Music",145,4.6,Chimaira,2005,alternative metal
Atreyu,B000EDWL4G,"Audio CD,MP3 Music,Vinyl",146,4.6,A Death-Grip On Yesterday,2006,alternative metal
Chris Robinson Brotherhood,B01FX5UF56,"Vinyl,Audio CD",146,4.6,"Anyway You Love, We Know How You Feel",2016,alternative metal
Tea Party,B000003JD0,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",146,4.6,Edges of Twilight,1995,alternative metal
My Dying Bride,B08KQCJB47,"Audio CD,MP3 Music,Vinyl",145,4.6,Macabre Cabaret,2020,alternative metal
Various Artists,B0001JXPRA,Audio CD,145,4.6,The Punisher,2004,alternative metal
Kittie,B00005QEYH,"Audio CD,MP3 Music",142,4.6,Oracle,2001,alternative metal
Stabbing Westward,B000002ANG,"Audio CD,MP3 Music,Audio, Cassette",142,4.6,Wither Blister Burn + Peel,1996,alternative metal
Tomahawk,B00005QX0C,"Audio CD,MP3 Music,Vinyl",142,4.6,Tomahawk,2015,alternative metal
Orgy,B0001CNQLW,"Audio CD,Audio CD",142,4.6,Punk Statik Paranoia,2004,alternative metal
In Flames,B09JT1J62H,"Audio CD,MP3 Music",141,4.6,The Jester Race + Black Ash Inheritance,2021,alternative metal
Schoolyard Heroes,B000UZ4G78,"Audio CD,MP3 Music",14,5,Abominations,2007,alternative metal
Rammstein,B00077CYI2,Audio CD,14,5,Keine Lust Pt.1,2005,alternative metal
Lustre,B000002G4N,"Audio CD,Vinyl",14,5,Lustre,1996,alternative metal
Gloryful,B07KLFJDFW,"Audio CD,MP3 Music,Vinyl",14,5,Cult Of Sedna,2019,alternative metal
Downset,B00004YR6R,"Audio CD,MP3 Music,Vinyl",43,4.7,Check Your People,2000,alternative metal
Gaahls WYRD,B09FTGP73K,"Audio CD,MP3 Music,Vinyl",43,4.7,The Humming Mountain,2021,alternative metal
In Flames,B0009IW8IK,"Audio CD,MP3 Music,Vinyl",43,4.7,Subterranean,2005,alternative metal
Windhand,B00CNVIXU8,"Audio CD,MP3 Music",43,4.7,Windhand,2015,alternative metal
The Breeders,B00A1USKRY,"Audio CD,Vinyl",43,4.7,Safari,1992,alternative metal
Dope,B0009VKTA6,"Audio CD,MP3 Music,Vinyl",139,4.6,American Apathy Special Ltd. Edition,2005,alternative metal
Ill Nino,B0000CC4V8,"Audio CD,MP3 Music",137,4.6,Confession,2003,alternative metal
Lard,B000000F7D,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",18,4.9,Power of Lard,1991,alternative metal
Merauder,B00000J7WS,"Audio CD,MP3 Music,Vinyl",18,4.9,Five Deadly Venoms,1999,alternative metal
Sinister,B000000GZP,"Audio CD,MP3 Music,Vinyl",18,4.9,Cross the Styx,1992,alternative metal
Sheavy,B000A2H7BI,"Audio CD,MP3 Music",18,4.9,Republic,2005,alternative metal
Foo Fighters,B0046HJBFI,"Vinyl,Audio CD",18,4.9,My Hero / Dear Lover (Limited Edition Red Vinyl),1998,alternative metal
Novembre,B001Q7MDJC,"Audio CD,MP3 Music,Vinyl",18,4.9,Novembrine Waltz,2009,alternative metal
Butthole Surfers,B00000IL20,"Audio CD,MP3 Music,Vinyl",137,4.6,Locust Abortion Technician,1999,alternative metal
Cynic,B09G6ZQ177,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",136,4.6,Ascension Codes,2021,alternative metal
Hammerfall,B08L2QZGS5,"Vinyl,MP3 Music,Audio CD",134,4.6,"Chapter V: Unbent, Unbowed, Unbroken",2021,alternative metal
Primal Scream,B007A897R2,"MP3 Music,Audio CD",133,4.6,Vanishing Point,1997,alternative metal
Biohazard,B000002MQL,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",131,4.6,State of the World Address,1994,alternative metal
Amon Amarth,B09B5962N4,"Vinyl,Audio CD",42,4.7,Jomsviking,2021,alternative metal
Skepticism,B096LTSG56,"Audio CD,MP3 Music,Vinyl",42,4.7,Companion,2021,alternative metal
Ministry,B000F3AAZW,"Audio CD,MP3 Music",130,4.6,Rio Grande Blood,2006,alternative metal
Annisokay,B08GB1MKHH,"Audio CD,MP3 Music,Vinyl",129,4.6,Aurora,2021,alternative metal
Imperia,B08VBH5NWF,"Audio CD,MP3 Music",25,4.8,The Last Horizon,2021,alternative metal
Black & Damned,B08N37KCYB,"Audio CD,MP3 Music,Vinyl",25,4.8,Heavenly Creatures,2021,alternative metal
Reverend Bizarre,B085RKH39V,"Vinyl,MP3 Music,Audio CD",25,4.8,Crush The Insects,2020,alternative metal
Mercenary,B000HA48CE,"Audio CD,Audio CD",25,4.8,Hours That Remain,2006,alternative metal
In the Woods,B0000C8ARA,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",25,4.8,Heart Of The Ages,2003,alternative metal
Revis,B0000996HX,"Audio CD,MP3 Music",128,4.6,Places for Breathing,2003,alternative metal
Drowning Pool,B000RGSOH8,"Audio CD,MP3 Music",127,4.6,Full Circle,2008,alternative metal
Fuel,B0000C8AXF,"Audio CD,MP3 Music",126,4.6,Natural Selection,2003,alternative metal
Ministry,B0000894R2,"Audio CD,MP3 Music,Vinyl,Audio DVD",126,4.6,Animositisomina,2008,alternative metal
Fates Warning,B004UMCSB8,"Vinyl,MP3 Music,Audio CD",126,4.6,The Spectre Within,1985,alternative metal
