"artist","asin","media","review_count","star_rating","title","year","genre"
"SLAEGT","B06XP56RBT","Vinyl,MP3 Music,Audio CD","3","4.6","Opus Mysterium",2017,"black metal"
"DYNFARI","B06XP5R8HB","Vinyl,MP3 Music,Audio CD","5","5","Four Doors Of The Mind",2017,"black metal"
"EMYN MUIL","B06XPPM1X8","Audio CD,MP3 Music","5","4.8","Elenion Ancalima Ltd.Digi",2017,"black metal"
"Solstafir","B06XWPXJ9F","Audio CD","1","5","Live In Japan 2015 Limited",2017,"black metal"
"ANOMALIE","B06XYLV7B7","Vinyl,MP3 Music,Audio CD","8","4.7","Visions",2017,"black metal"
"DESTRUCTION","B0719B3NBM","Vinyl","6","4.8","Sentence Of Death",2017,"black metal"
"VON","B071D8LQ5L","Audio CD","1","5","Dark Gods: Birth of The Architects (12"" Booklet Edition) (Ltd 500)",2017,"black metal"
"Sodom","B071GDXKVP","Vinyl,MP3 Music,Audio CD","61","4.6","Code Red Icy Blue Marbled",2017,"black metal"
"Dam","B071KH28R4","Audio CD,MP3 Music","1","5","Dabke On The Moon",2017,"black metal"
"OFERMOD","B0725QHZ42","Vinyl,MP3 Music,Audio CD","2","5","Sol Nox",2017,"black metal"
"Der Weg Einer Freiheit","B0725S44DC","Vinyl,MP3 Music,Audio CD,Audio, Cassette","56","4.9","Finisterre",2017,"black metal"
"Venom","B0727NTJF8","Vinyl,MP3 Music,Audio CD","209","4.7","At War With Satan",2017,"black metal"
"Dam","B072KPNKVH","Audio CD,Audio CD","11","4.9","Dedication Ihda'",2017,"black metal"
"Wintersun","B072M77PT7","Audio CD","3","3","Forest Seasons",2017,"black metal"
"Death SS","B073W3DMQG","Audio CD,Vinyl","20","4.7","Beyond Resurrection",2017,"black metal"
"Sodom","B0746MVBPV","Audio CD,Vinyl","19","4.3","Demonized",2022,"black metal"
"Cradle Of Filth","B0746XF465","Audio CD","8","5","Cryptoliana: Temptation For Corrosion",2017,"black metal"
"Belphegor","B0748KC4PV","Audio CD","3","4.6","Totenritual",2017,"black metal"
