"artist","asin","media","review_count","star_rating","title","year","genre"
"Enslaved","B001KK6R6A","Audio CD,MP3 Music","27","4.7","MARDRAUM BEYOND THE WITHIN",2012,"death metal"
"Grave Digger","B001KKRD7M","Audio CD,MP3 Music,Vinyl","54","4.6","Ballads of a Hangman",2022,"death metal"
"Alestorm","B001KKRD8G","Audio CD,MP3 Music","84","4.6","Leviathan",2022,"death metal"
"Napalm Death","B001KS978W","Audio CD,MP3 Music,Audio CD,Vinyl","21","4.5","Leaders Not Followers: Part2/Darker Days Ahead",2008,"death metal"
"In Fear & Faith","B001L5F1UW","Audio CD,MP3 Music","31","4.7","Your World On Fire",2009,"death metal"
"Cannibal Corpse","B001LRI7SI","Audio CD,MP3 Music,Vinyl","184","4.6","Evisceration Plague",2009,"death metal"
"Architects UK","B001M9461M","Audio CD,MP3 Music,Vinyl","87","4.7","Hollow Crown",2009,"death metal"
"Napalm Death","B001M9463U","Audio CD,MP3 Music,Vinyl","94","4.7","Time Waits for No Slave",2008,"death metal"
"Sighs","B001MLVKVO","Audio CD","20","4.6","Imaginary Sonicscape",2009,"death metal"
"Taake","B001N26GQG","Audio CD,MP3 Music","23","4.9","Taake",2012,"death metal"
"Iwrestledabearonce","B001N7LM38","Audio CD,MP3 Music","23","4.6","Iwrestledabearonce",2007,"death metal"
"Children of Bodom","B001NE81TO","Vinyl","37","4.6","Tokyo Warhearts: Live",2009,"death metal"
"Obscura","B001O12THG","Audio CD,MP3 Music,Vinyl","105","4.8","Cosmogenesis",2009,"death metal"
"Enchantment (Metal)","B001O8C5DW","Audio CD,MP3 Music,Vinyl,Audio, Cassette","11","4.8","Dance of the Marble Naked",2009,"death metal"
"Kylesa","B001OBBR5Q","Audio CD,MP3 Music,Vinyl","62","4.7","Static Tensions",2009,"death metal"
"Hate Eternal","B001OD6HL8","Audio CD,MP3 Music,Audio CD","45","4.8","I Monarch",2009,"death metal"
"Exorcist","B001OO26MQ","Audio CD,Audio CD,Vinyl","34","4.7","Nightmare Theatre",1999,"death metal"
"Marduk","B001OQRZBG","Audio CD,Audio CD,Vinyl","71","4.6","Fuck Me Jesus / Glorification",1995,"death metal"
"Keep of Kalessin","B001OQYPZU","Audio CD,MP3 Music,Vinyl","19","4.6","Armada",2008,"death metal"
"Lamb of God","B001P5Q6FC","Audio CD,MP3 Music,Vinyl","601","4.8","Wrath",2009,"death metal"
"God Forbid","B001PCNZ68","Audio CD,MP3 Music","40","4.5","Earthsblood",2012,"death metal"
"Wednesday 13","B001PS0EZC","Audio CD","51","4.7","Bloodwork",2009,"death metal"
"Moonspell","B001PU8NDA","Vinyl,MP3 Music,Audio CD,Audio, Cassette","68","4.7","Night Eternal",2009,"death metal"
"The Number Twelve Looks Like You","B001PWY4HC","Audio CD,MP3 Music,Vinyl","24","4.9","Worse Than Alone",2009,"death metal"
"Cynic","B001Q8FSTI","Audio CD,MP3 Music","135","4.7","TRACED IN AIR",2012,"death metal"
"Amon Amarth","B001QBC3DE","Audio CD,MP3 Music,Vinyl","260","4.7","Once Sent From The Golden Hall",2009,"death metal"
"Insect Warfare","B001R7IH6Y","Audio CD,MP3 Music,Vinyl","41","5","World Extermination",2009,"death metal"
"Impending Doom","B001RTCOZW","Audio CD,MP3 Music,Vinyl","27","4.5","The Serpent Servant",2009,"death metal"
"Wolves in the Throne Room","B001RXB4EA","Audio CD,MP3 Music,Vinyl","55","4.6","Black Cascade",2009,"death metal"
"Eluveitie","B001SWGOP4","Audio CD,MP3 Music","141","4.6","Evocation I: The Arcade Dominion",2009,"death metal"
"God Dethroned","B001T1CMTQ","Audio CD,MP3 Music","32","4.9","Passiondale",2009,"death metal"
"Brutal Truth","B001T1CMUA","Audio CD,MP3 Music,Vinyl","21","4.5","Evolution Through Revolution",2009,"death metal"
"Agoraphobic Nosebleed","B001T1CMUK","Audio CD,MP3 Music,Vinyl","26","4.8","Agorapocalypse",2009,"death metal"
"Black Math Horseman","B001T46U1Y","Audio CD,MP3 Music,Vinyl","15","4.9","Wyllt",2009,"death metal"
"Ulcerate","B001TIQTKM","Audio CD,MP3 Music,Vinyl","31","4.6","Everything Is Fire",2009,"death metal"
"Church of Misery","B001TN0VHE","Audio CD,MP3 Music","55","4.9","Houses Of The Unholy",2019,"death metal"
"MORTAL SIN","B001TRI3IY","Audio CD,MP3 Music,Audio CD,Vinyl","39","4.6","Mayhemic Destruction",1986,"death metal"
"Funeral Mist","B001TZ5Z5K","Audio CD,MP3 Music","23","4.9","Maranatha",2009,"death metal"
"War from a Harlots Mouth","B001U149FK","Vinyl,MP3 Music,Audio CD","13","4.8","In Shoals",2009,"death metal"
"Vomitory","B001UDPBVE","Audio CD,MP3 Music,Vinyl","26","4.6","Carnage Euphoria",2009,"death metal"
"Jungle Rot","B001UDPBX2","Audio CD,MP3 Music,Vinyl","45","4.7","What Horrors Await",2009,"death metal"
"Fleshgod Apocalypse","B001UJIMPU","Audio CD,MP3 Music","52","4.6","Oracles",2009,"death metal"
"Sunn 0)))","B001UJSVTC","Audio CD,MP3 Music,Vinyl","97","4.6","Monoliths And Dimensions",2009,"death metal"
"Amon Amarth","B001VROVHO","Audio CD,MP3 Music,Vinyl","202","4.7","The Avenger",2009,"death metal"
"Hatebreed","B001WKHZS2","Vinyl,MP3 Music,Audio CD","75","4.7","For the Lions",2009,"death metal"
"Obituary","B001YTONHM","Audio CD,Vinyl","65","4.8","Darkest Day",2009,"death metal"
"Ensiferum","B0020H47TG","Audio CD,MP3 Music,Vinyl","151","4.7","Ensiferum 2009",2010,"death metal"
"Black Label Society","B0021H5I4I","Audio CD,MP3 Music,Vinyl","34","4.8","Skullage",2017,"death metal"
"Alestorm","B0021UDJM8","Audio CD,MP3 Music","287","4.8","Black Sails At Midnight",2022,"death metal"
"Gorgoroth","B0023P7ZNA","Vinyl,Audio CD,Vinyl","58","4.8","Under the Sign of Hell",2009,"death metal"
"Black Label Society","B00242KCUU","Audio CD","38","4.4","Kings of Damnation: Era 1998-2004",2009,"death metal"
"Amorphis","B0024G4ZEK","Audio CD,Vinyl","166","4.8","Skyforger",2012,"death metal"
"Enslaved","B0024QBJ2G","Audio CD","9","5","Vertebrae - Limited",2009,"death metal"
"Bring Me the Horizon","B0024RI73E","Audio CD","10","4.9","Count Your Blessings / This Is What the Edge of",2009,"death metal"
"Old Man's Child","B002610HXQ","Audio CD,MP3 Music","31","4.5","Slaves of the World",2009,"death metal"
"Khanate","B00265SBA8","Audio CD,MP3 Music,Vinyl","9","5","Clean Hands Go Foul",2009,"death metal"
"Abominable Putridity","B002675D8Y","Audio CD,MP3 Music,Audio CD,Vinyl","21","4.7","In The End of Human Existence",2007,"death metal"
"DevilDriver","B0026J8LIG","Audio CD,MP3 Music","83","4.6","Pray For Villains",2009,"death metal"
"Iwrestledabearonce","B0026LYM50","Audio CD,MP3 Music","56","4.6","It's All Happening",2012,"death metal"
"Molotov Solution","B0026MEM3Q","Audio CD,MP3 Music","16","4.8","The Harbinger",2009,"death metal"
"Coalesce","B0026MEM7W","Audio CD,MP3 Music,Vinyl","15","4.6","Ox",2009,"death metal"
"For Today","B0026OTR02","Audio CD,MP3 Music,Vinyl","35","4.5","Portraits",2009,"death metal"
"Dark Tranquillity","B0026RBJ4Q","Audio CD","54","4.6","Projector",2009,"death metal"
"Dark Tranquillity","B0026RBJ50","Audio CD,MP3 Music","104","4.7","Haven",2009,"death metal"
"Darkthrone","B00274OC8I","Audio CD","60","4.6","Fuck Off & Die",2017,"death metal"
"Opeth","B0027GWVIO","Audio CD,MP3 Music","63","4.6","The Candlelight Years",2015,"death metal"
"Hypocrisy","B0027GZBZO","Audio CD,MP3 Music","7","5","Destroys Wacken",2009,"death metal"
"Killswitch Engage","B0027LZ0GY","Audio CD,MP3 Music","281","4.6","Killswitch Engage",2009,"death metal"
"Suffocation","B0027OSSQK","Audio CD,MP3 Music,Vinyl,Audio, Cassette","75","4.8","Blood Oath",2012,"death metal"
"Augury","B0027OSSR4","Audio CD,MP3 Music","26","4.8","Fragmentary Evidence",2009,"death metal"
"Katatonia","B0027OSSYW","Audio CD,MP3 Music,Vinyl","330","4.8","The Great Cold Distance",2017,"death metal"
"Cathedral","B00284G2G2","Audio CD,Vinyl","117","4.6","Forest of Equilibrium",2009,"death metal"
"Magrudergrind","B00284G2I0","Audio CD,MP3 Music","39","4.7","Magrudergrind",2009,"death metal"
"Darkest Hour","B0028ERBZ8","Audio CD,MP3 Music,Vinyl","25","4.9","The Eternal Return",2009,"death metal"
"Sleeping Giant","B0028ERC34","Audio CD,MP3 Music,Vinyl","10","4.9","Sons Of Thunder",2009,"death metal"
