artist,asin,media,review_count,star_rating,title,year
Jimi Hendrix,B0000C9ZSV,"Audio CD,MP3 Music,Vinyl",433,4.8,Live At Berkeley,2003
Alestorm,B00KC9GP8U,"Vinyl,MP3 Music,Audio CD",433,4.8,Sunset on the Golden Age,2014
Lorna Shore,B07ZWBF14B,"Vinyl,MP3 Music,Audio CD",429,4.8,Immortal,2020
Sammy Hagar,B000000OM7,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",429,4.8,Standing Hampton,1990
Suicidal Tendencies,B00BNNH28G,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",431,4.8,Lights Camera Revolution,2014
Slayer,B000062YAY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",432,4.8,Live - Decade Of Aggression,2002
Ayreon,B01N5TGCZ9,"Audio CD,MP3 Music",430,4.8,The Source,2017
Ten Years After,B00005K1ZD,"Audio CD,MP3 Music,Vinyl",430,4.8,Live at the Fillmore East,1970
Savatage,B0B1YT99TB,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",426,4.8,Edge Of Thorns,2022
At The Gates,B07H62Q4GR,"Audio CD,MP3 Music,Vinyl",429,4.8,Slaughter Of The Soul,2019
Metal Church,B000002H3J,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",424,4.8,Metal Church,1990
Cannibal Corpse,B00F5T5H8G,"Audio CD,MP3 Music,Vinyl",426,4.8,Red Before Black,2017
Social Distortion,B000002A69,Audio CD,422,4.8,"White Light, White Heat, White Trash",1996
Light the Torch,B092RPLNHJ,"Audio CD,MP3 Music,Vinyl",424,4.8,You Will Be The Death Of Me,2021
Testament,B000002IMG,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",424,4.8,The New Order,1990
Fire From the Gods,B07VJWWJSD,"Audio CD,MP3 Music,Vinyl",423,4.8,American Sun,2019
Sabaton,B07QRN4GRX,"Audio CD,Vinyl",424,4.8,Great War: History Edition,2019
Between the Buried and Me,B06XDQWK9Q,"Audio CD,MP3 Music,Vinyl",61,4.9,Coma Ecliptic Live BR,2017
Kiss,B000001EIA,"Audio CD,Vinyl,Audio, Cassette",424,4.8,MTV Unplugged,1996
Children of Bodom,B001DR9TN8,"Audio CD,Audio CD",422,4.8,Hate Crew Deathroll,2008
The Amity Affliction,B082PQ74FL,"Audio CD,MP3 Music,Vinyl",422,4.8,Everyone Loves You... Once You Leave Them,2020
Devin Townsend,B01HOGKV74,"Audio CD,MP3 Music,Vinyl",422,4.8,Transcendence,2016
Deep Purple,B0857PD4PG,"Vinyl,Audio CD",422,4.8,Whoosh! Ltd.,2020
Immortal,B07R7BN63W,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",419,4.8,Northern Chaos Gods,2018
Social Distortion,B0000027SR,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",417,4.8,Somewhere Between Heaven And Hell,1992
David Bowie,B00004Y5A8,"Audio CD,MP3 Music,Vinyl",417,4.8,Bowie At The Beeb,2004
Eclipse,B07SZBK3XH,"Audio CD,MP3 Music,Vinyl",418,4.8,Paradigm,2019
Anathema,B007NESEPO,"Vinyl,MP3 Music,Audio CD",419,4.8,Weather Systems,2013
Darkthrone,B07YMFVRXP,"Vinyl,MP3 Music,Audio CD",416,4.8,Old Star Picture,2019
Ozzy Osbourne + Motorhead,B09DJ8SMH2,"Vinyl,MP3 Music",414,4.8,Hellraiser,2021
Fight,B0012GMXTC,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",414,4.8,War Of Words,2008
Hypocrisy,B09FZM29RR,"Audio CD,MP3 Music,Vinyl",415,4.8,Worship,2021
Billy Joel,B000050GFS,Audio CD,413,4.8,Ultimate Collection,2001
Twin Temple,B0BQCCZ5GQ,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",411,4.8,Twin Temple Bring You Their Signature Sound.... Satanic Doo-Wop,2023
Kreator,B06XKNVCVC,"Vinyl,MP3 Music,Audio CD",415,4.8,Extreme Agression,2017
Tsuchiya Anna,B000N0WYRY,Audio CD,410,4.8,Nana Best,2007
Iron Maiden,B0000251VP,Audio CD,409,4.8,Iron Maiden enhanced eng,1998
Bolt Thrower,B07HGQ53CK,"Audio CD,MP3 Music,Vinyl",411,4.8,Ivth Crusade full Dynamic Range Remastered,2019
Dimmu Borgir,B001ANU9QG,"Audio CD,MP3 Music,Vinyl",412,4.8,Enthrone Darkness Triumphant RELOADED,2012
Dio,B08K4SZ197,"Audio CD,MP3 Music,Vinyl",410,4.8,Evil Or Divine: Live In New York City,2021
